Date,Close-Last,Volume,Open,High,Low
2016-09-06,102.43,5425118,101.21,102.61,100.97
2016-09-07,102.88,5283269,102.75,103.05,102.24
2016-09-08,104.12,5782012,103.34,104.345,102.47
2016-09-09,101.27,7785703,103.35,103.41,101.23
2016-09-12,102.25,8136496,101.2,102.55,100.57
2016-09-13,99.43,9289090,101.65,101.65,99.17
2016-09-14,98.42,8195540,99.12,99.95,98.17
2016-09-15,99.5,6749565,98.5,100.39,98.43
2016-09-16,97.84,12722040,98.33,98.81,97.525
2016-09-19,98.04,6177848,98.33,98.85,97.99
2016-09-20,97.7,5771470,98.17,98.48,97.68
2016-09-21,99.63,6352487,98.35,99.69,98.25
2016-09-22,99.98,5409875,100.52,100.75,99.84
2016-09-23,99.22,7355489,99.34,100.55,98.87
2016-09-26,98.78,5774429,99.49,100.28,98.66
2016-09-27,98.98,6469896,98.24,99.658,97.79
2016-09-28,102.15,10166190,99.52,102.28,98.75
2016-09-29,101.27,8135877,102,102.27,100.48
2016-09-30,102.92,9417594,101.83,103.6,101.23
2016-10-03,102.45,4326930,102.55,102.83,101.91
2016-10-04,101.27,6497782,102.71,102.92,100.76
2016-10-05,102.23,5912770,101.99,102.865,101.75
2016-10-06,102.18,4360969,102.32,102.7,101.34
2016-10-07,102.27,5835298,102.5,103.47,102.19
2016-10-10,103.98,5967933,103.21,104.42,103.21
2016-10-11,103.04,5331327,103.78,104.1,102.68
2016-10-12,102.15,4926517,102.74,102.83,101.6
2016-10-13,100.79,7874087,101.49,101.72,99.61
2016-10-14,101.08,5105490,101.48,101.96,100.61
2016-10-17,101.36,4537157,100.94,101.485,100.62
2016-10-18,101.79,4719965,101.99,102.25,101.12
2016-10-19,102.27,5887237,102.47,103.695,102.24
2016-10-20,101.87,4806710,101.64,102.22,100.69
2016-10-21,101.3,5452212,101.06,101.56,100.63
2016-10-24,100.66,6069142,101.56,101.5779,100.06
2016-10-25,100.77,4728406,100.75,101.67,100.522
2016-10-26,101.19,6352089,100.32,101.53,99.87
2016-10-27,99.92,9872441,101.51,101.98,99.92
2016-10-28,103.82,17430570,101.12,105.03,100.95
2016-10-31,104.75,12315710,103.82,105.46,103.78
2016-11-01,106.48,12746080,105.51,106.74,105.45
2016-11-02,105.39,8383153,105.65,106.05,104.25
2016-11-03,105.39,5698232,105.53,106.19,104.95
2016-11-04,104.78,7073514,105.25,105.49,104.38
2016-11-07,106.85,7308739,106,106.98,105.7803
2016-11-08,107.29,8039187,106.57,108.19,106.42
2016-11-09,107.64,9158755,106.04,108.26,105.69
2016-11-10,107.79,8735584,107.54,108.5,107.24
2016-11-11,106.64,7929853,107.48,107.65,105.94
2016-11-14,106.59,7656038,106.15,106.73,105.59
2016-11-15,108.96,12015280,107.49,109.06,107.4
2016-11-16,108.35,7716075,108.2,109,107.74
2016-11-17,108.12,6629114,109,110.1,107.5884
2016-11-18,109.2,6798981,108.57,109.67,108.15
2016-11-21,110.18,8472002,110.36,111,110.07
2016-11-22,110.62,6437924,110.79,111,109.31
2016-11-23,111,4490143,110.4,111.47,110.04
2016-11-25,111,3238554,110.54,111.22,110.12
2016-11-28,110.5,6376362,110.95,111.57,110.38
2016-11-29,109.34,7461440,109.1,109.72,108.4
2016-11-30,111.56,17299650,112.05,112.98,111.3
2016-12-01,113.29,11790480,112.79,114.91,112.53
2016-12-02,113,6164099,113.2,113.81,112.28
2016-12-05,113.25,6902956,113.39,114.48,113.03
2016-12-06,112.76,6033494,112.39,113.485,112.21
2016-12-07,114.44,6414607,113.04,114.48,112.82
2016-12-08,115.17,5507219,114.73,115.4,114.2
2016-12-09,115.81,5771451,114.99,115.99,114.97
2016-12-12,117.15,10039640,117.77,118.99,116.57
2016-12-13,117.42,8502813,117.9,118.31,116.03
2016-12-14,115.96,7873059,116.71,117.88,115.76
2016-12-15,117.05,7458104,115.63,117.39,115.36
2016-12-16,118.08,13635140,117.84,118.58,117.42
2016-12-19,117.65,5772478,118.37,118.45,117.42
2016-12-20,117.95,4315993,117.85,118.63,117.67
2016-12-21,117.91,5016762,118.34,119,117.861
2016-12-22,118.77,4983729,117.94,118.99,117.77
2016-12-23,118.42,2683516,118.41,118.695,118.05
2016-12-27,118.22,2986711,118.5,118.9,118.11
2016-12-28,117.91,4012196,118.31,118.86,117.75
2016-12-29,117.82,3211131,118.01,118.42,117.48
2016-12-30,117.7,5018561,117.44,118.2419,117.31
2017-01-03,117.85,7404673,118.38,119,116.59
2017-01-04,117.82,6679918,118.41,118.65,117.6
2017-01-05,117.31,5927980,118,118.48,116.72
2017-01-06,116.84,4760740,117.45,117.58,116.38
2017-01-09,115.84,6891534,116.29,116.36,115.11
2017-01-10,114.96,6184401,115.56,116.39,114.89
2017-01-11,115.93,6105049,115.15,116.45,114.86
2017-01-12,116.16,4939774,116.5,116.99,115.41
2017-01-13,116.38,4948808,115.86,116.88,115.61
2017-01-17,116.28,4669548,116.4,116.77,116.11
2017-01-18,115.94,4850020,115.68,116.04,115.3986
2017-01-19,115.58,3423205,115.89,115.96,115.29
2017-01-20,115.6,6696476,116.32,116.75,115.34
2017-01-23,115.39,5104029,115.12,115.96,114.99
2017-01-24,116.37,4997135,115.85,117.108,115.61
2017-01-25,117.24,5268727,116.9,117.43,116.34
2017-01-26,116.55,6921860,117.5,117.82,116.5
2017-01-27,113.79,11689000,113.53,114.7,112.85
2017-01-30,111.82,8244455,113.15,113.8,110.72
2017-01-31,111.35,7942854,111.89,112.2,110.76
2017-02-01,111,5887965,111.2,111.78,110.8428
2017-02-02,112.21,6276406,111.17,112.24,110.71
2017-02-03,113.57,6607342,112.41,114.28,112.14
2017-02-06,112.98,5634329,113.28,113.5,112.45
2017-02-07,111.39,6028958,112.98,113.1,111.11
2017-02-08,111.58,5188783,111.13,111.79,110.32
2017-02-09,112.26,4606232,111.91,112.63,111.69
2017-02-10,113.05,6190199,112.75,113.45,112.37
2017-02-13,113.91,4773485,113.36,113.99,113.05
2017-02-14,112.52,5810932,112.68,113.07,111.78
2017-02-15,112.57,7048012,112.21,113.24,112.21
2017-02-16,110.68,9475763,112.99,112.99,110.43
2017-02-17,110.33,8107022,110.42,110.57,109.27
2017-02-21,111.72,6616620,110.73,112.31,110.6
2017-02-22,110.38,5731859,111.19,111.78,110.31
2017-02-23,111.02,8659310,111.34,111.83,110.75
2017-02-24,110.12,6186082,110.9,111.02,109.47
2017-02-27,111.75,7276323,110.65,112.2697,110.37
2017-02-28,112.5,7025482,111.66,112.76,111.49
2017-03-01,113.88,7346095,112.92,114.3932,112.88
2017-03-02,113.36,5888575,113.67,114.27,113.31
2017-03-03,113.55,4909952,113.76,113.89,113.21
2017-03-06,113.17,4727762,113.25,113.5,112.67
2017-03-07,111.81,6659178,113.54,113.88,111.69
2017-03-08,109.61,9066392,111.68,111.92,109.4
2017-03-09,110.04,7245584,109.31,110.17,108.51
2017-03-10,110.61,6556935,111.4,111.4099,109.44
2017-03-13,109.35,6367868,110.51,110.81,109.31
2017-03-14,107.36,9934728,108.47,108.5737,107.12
2017-03-15,108.88,9472045,108.08,108.98,107.54
2017-03-16,107.86,8814481,108.81,108.88,107.44
2017-03-17,107.68,14348880,108,108.42,107.68
